class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_00000890,,"""Small"" is ambiguous. For details on ""Small rivers"" (e.g. the Salween river) see http://worldwildlife.org/biomes/small-river-ecosystems. This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by a small river.,,,,,,,wwfBiome,small river biome,ENVO_01000253
ENVO_00000891,,"""Large"" is ambiguous. For details on ""Large lakes"" (e.g. African rift lakes) see http://worldwildlife.org/biomes/large-lake-ecosystems This class will be replaced with a less ambiguous class.",A freshwater biome which is determined by a large lake.,,,,,,,wwfBiome,large freshwater lake biome,ENVO_01000252
ENVO_00000892,,"""Small"" is ambiguous. For details on ""Small lakes"" (e.g. Cameroon crater lakes)  see http://worldwildlife.org/biomes/small-lake-ecosystems. This class will be replaced with a less ambiguous class.",A freshwater lake biome which is determined by a small lake.,,,,,,,wwfBiome,small freshwater lake biome,ENVO_01000252
ENVO_01000041,,,"The neritic sea surface microlayer (SML) biome comprises the top 1000 micrometers of marine surface waters occurring above a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath.",,,,,,,,neritic sea surface microlayer biome,ENVO_01000032
ENVO_01000042,,,"The neritic epipelagic zone biome comprises the marine water column that occurs above a continental shelf and extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The epipelagic zone encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline.",,,,,,,,neritic epipelagic zone biome,ENVO_01000032
ENVO_01000043,,,"The neritic mesopelagic zone biome comprises the marine column that occurs above a continental shelf and extends from approximately 200 to 1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much; however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases.",,,,,,,,neritic mesopelagic zone biome,ENVO_01000032
ENVO_01000034,,,"The oceanic sea surface microlayer (SML) biome comprises the top 1000 micrometers of the marine surface waters occurring offshore, away from a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath.",,,,,,,,oceanic sea surface microlayer biome,ENVO_01000033
ENVO_01000035,,,"The oceanic epipelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The oceanic epipelagic zone biome encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline.",,,,,,,,oceanic epipelagic zone biome,ENVO_01000033
ENVO_01000036,,,"The oceanic mesopelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends through the water column from approximately 200-1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much; however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases.",,,,,,,,oceanic mesopelagic zone biome,ENVO_01000033
ENVO_01000037,,,"The bathypelagic zone biome comprises the marine water column below approximately 1000 m water depth - the maximum depth to which detectable daylight penetrates in all but the clearest oligotrophic waters - and extends to about 2500 - 2700 m water depth. In the temperate Atlantic, the beginning of the bathypelagic zone biome approximates to the deep oxygen minimum and the base of the permanent thermocline.",,,,,,,,oceanic bathypelagic zone biome,ENVO_01000033
ENVO_01000038,,,The abyssopelagic zone biome comprises the marine water column below the bathypelagic zone biome at approximately 2500 -2700 m and extends either to the hadal pelagic zone biome (at approximately 6000 m) or to the benthopelagic zone biome within ca. 100 m of the seafloor. The depth of 2700 m may be critical for physiological reasons as the change in hydrostatic pressure across this depth may preclude organism migration.,,,,,,,,oceanic abyssopelagic zone biome,ENVO_01000033
ENVO_01000039,,,"The oceanic hadal pelagic zone biome comprises the water column in oceanic trenches occurring at depths between 6000m and 10,000m.",,,,,,,,oceanic hadal pelagic zone biome,ENVO_01000033
ENVO_01000040,,,"The benthopelagic zone biome comprises regions of the marine water column which usually coincide with the benthic boundary layer (BBL) - the layer of isothermal and isohaline water contiguous to the sea floor. A general reversal in the declining gradient of pelagic biomass may be observed here, perhaps explained by viable nutrition on the sea floor being resuspended by bottom currents. This zone typically extends 100 m above the seafloor, but may reach upto1000 m during benthic storms.",,,,,,,,oceanic benthopelagic zone biome,ENVO_01000033
ENVO_01000049,,,"The marine coral reef biome comprises constructional wave-resistant entities which are primarily built by corals and are often cemented together. The growth of these structures is aided by zooxanthellae, algae that are symbiotic with the reef-building corals.",,,,,,,,marine coral reef biome,ENVO_01000029
ENVO_01000050,,,"The marine rocky subtidal reef biome comprises regions of the marine reef biome composed mainly of rock and which harbour abundant communities of algae and invertebrates. These reefs are often very patchy, with alterations of rocks dominated by rich invertebrate assemblages and turf-forming calcareous red algae.",,,,,,,,marine subtidal rocky reef biome,ENVO_01000029
ENVO_01000123,,,"The marine sponge reef biome comprises marine reefs primarily built by marine sponges. The primary frame-building sponges are all members of the order Hexactinosa. They are found only in glacier-scoured troughs of low-angle continental shelf. The seafloor is stable and consists of rock, coarse gravel, and large boulders.",,,,,,,,marine sponge reef biome,ENVO_01000029
ENVO_01000051,,,A marine black smoker biome comprises regions of the marine hydrothermal vent biome characterised by a black vent plume. This black plume is a consequence of dissolved metals and minerals forming complexes with sulphide and indicates polymetallic sulphide mineral deposits beneath the surface.,,,,,,,,marine black smoker biome,ENVO_01000030
ENVO_01000052,,,"A marine white smoker biome comprises regions of the marine hydrothermal vent biome characterised by lightly hued plumes, typically containing barium, calcium, and silicon. These vents tend to have lower temperature plumes when compared to black smoker environments.",,,,,,,,marine white smoker biome,ENVO_01000030
ENVO_01000053,,,"A marine ultramafic hydrothermal vent biome comprises regions of themarine  hydrothermal vent biome hosted on ultramafic (also referred to as ultrabasic) rocks. Ultramafic rocks are igneous and meta-igneous rocks with very low silica content (less than 45%), generally >18% MgO, high FeO, low potassium, and are composed of usually greater than 90% mafic minerals  (dark colored, high magnesium and iron content). The Earth's mantle is composed of ultramafic rocks.",,,,,,,,marine ultramafic hydrothermal vent biome,ENVO_01000030
ENVO_01000054,,,"A marine basaltic hydrothermal vent biome comprises regions of the marine hydrothermal vent biome hosted on basaltic rocks. Basalt generally has a composition of 45 to 55 wt % SiO2, 2 to 6 wt % total alkalis, 0.5 to 2.0 wt % TiO2, 5 to 14 wt % FeO and 14 wt % or more Al2O3. Contents of CaO are commonly near 10 wt %, those of MgO commonly in the range 5 to 12 wt %.",,,,,,,,marine basaltic hydrothermal vent biome,ENVO_01000030
