class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_00002008,,Dust occurs in and may be deposited from the atmosphere.,Particulate environmental material with diameters less than 500 micrometers.,Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,envoPolar,dust,"ENVO_01000814, ENVO_01000060"
ENVO_00002040,,,,,,,,,,,wood,"ENVO_01000814, ENVO_01000155"
ENVO_00002164,,,A solid environmental material which is formed by the replacement of organic substances (including those in soils and sediments) with mineral material.,,,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,fossil material,ENVO_01000814
ENVO_01000000,,,"Organic matter in soil which has reached a point of stability, where it will break down no further and might, if conditions do not change, remain essentially as it is for centuries, or millennia.",,,,,,,,humus,"ENVO_01000814, ENVO_04000008"
ENVO_02000090,,,"An environmental material that is the non-aqueous, non-gaseous residues that remain after something is burned.",,,,,,,,ash,ENVO_01000814
ENVO_01001646,,,A solid material which does not have a regularly organised internal structure.,,,,,,,,amorphous solid,ENVO_01000814
ENVO_01000480,,"This class refers to all forms of glass. For the familiar form present in window panes and drinking glasses, consider silica-based glass.",Glass is an amorphous (non-crystalline) solid which is often transparent.,,,,,,,,glass,ENVO_01000814
ENVO_01000560,,,"Charcoal is a light, black residue, consisting of carbon and any remaining ash, obtained by removing water and other volatile constituents from animal and vegetation substances. Charcoal is usually produced by slow pyrolysis, the heating of wood or other substances in the absence of oxygen.",,,,,,,,charcoal,"ENVO_01000814, ENVO_01000155, ENVO_2000045"
ENVO_01000845,,This class refers to a portion of crystal and not an individual crystal.,"A solid material whose constituents, such as atoms, molecules or ions, are arranged in a highly ordered microscopic structure, forming a crystal lattice that extends in all directions.",,,,,,,,crystal,ENVO_01000814
ENVO_01001121,,,"Organic material which is primarily composed of plant structures, living or dead.",,,,,,,,plant matter,"ENVO_01000814, ENVO_01000155"
ENVO_01001231,,,Organic material which is in a solid phase and contained in sedimentary rock.,,,,,,,,kerogen,"ENVO_01000814, ENVO_01000155"
ENVO_01001525,,,"Frozen soil which is firmly cemented by water ice, is subject to brittle failure, and exhibits practically no consolidation under load.",,,,,,,,hard-frozen soil,"ENVO_01000814, ENVO_01001526"
ENVO_01001528,,,"Frozen soil which has very low total water content and is not cemented by ice; its compressibility is the same as that of unfrozen soils having the same composition, total water content and density.",,,dry-frozen soil,,,,,friable-frozen soil,"ENVO_01000814, ENVO_01001526"
ENVO_01001561,,,"An environmental material which is solid, jelly-like, and exhibits no flow when in steady state material and which contains liquid dispersed in and held in place by cross-linked structures of a solid medium.",,,,,,,,gel,ENVO_01000814
ENVO_01001850,,"In British usage, a day on which the minimum temperature at the level of the ground or on the tops of low, close-growing vegetation falls to -0.9C (30.4F) or below (also called a ""day with ground frost"").  In more general usage, ""frost"" can refer to the condition that exists when the temperature of the Earth's surface and Earthbound objects fall below the melting point of water (0 degrees Celsius or 32 degrees Fahrenheit). Depending upon the actual values of ambient-air temperature, dewpoint, and the temperature attained by surface objects, frost may occur in a variety of forms. These include a general freeze, hoarfrost (or white frost), and dry freeze (or black frost). If a frost period is sufficiently severe to end the growing season (or delay its beginning), it is commonly referred to as a killing frost.",An environmental material which is primarily composed of minute ice crystals forming a fuzzy layer over a cold surface by direct deposition of water vapor.,,,,,,,,frost,ENVO_01000814
ENVO_03501307,,,"A solid environmental material that is hard, brittle, heat-resistant and corrosion-resistant, made by shaping and then firing a nonmetallic mineral at a high temperature.",,,,,,,,ceramic,ENVO_01000814
ENVO_00002122,,,Mud which has elevated concentrations of arsenic.,,,,,,,,arsenic-rich mud,ENVO_01000001
ENVO_00002133,,,Mud which has no or neglible concentrations of dissolved oxygen.,,,anoxic mud,,,,,anaerobic mud,ENVO_01000001
ENVO_00002160,,,Mud which is part of an estuary.,,,,,,,,estuarine mud,"ENVO_01000813, ENVO_01000001"
ENVO_00005795,,,Mud which is part of a marine ecosystem.,,,,,,,envoPolar,marine mud,"ENVO_01000813, ENVO_01000001"
ENVO_00005797,,,Mud which constitutes the bed of a lake.,,,,,,,,lake bottom mud,"ENVO_01000813, ENVO_01000001"
ENVO_02000019,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An organic material which is primarily composed of some natural bodily fluid or secretion such as blood, semen, saliva, blood plasma, intracellular and interstitial fluids.",,,,,,,,bodily fluid material,ENVO_01000155
ENVO_04000008,,,"Organic material in soil, which consists of plant and animal residues at various stages of decomposition, cells and tissues of soil organisms, and substances synthesized by soil organisms.",,,,,,,envoNceas,soil organic matter,"ENVO_01000813, ENVO_01000155"
ENVO_01000063,,,A portion of planktonic material is a portion of environmental material primarily composed of plankton.,See Issue #251. Awaiting class creation in PCO to attempt logical definitions.,,,,,,envoPolar,planktonic material,ENVO_01000155
ENVO_01000156,,,"Material derived from a biofilm, an aggregate of microorganisms in which cells adhere to each other and/or to a surface. These adherent cells are frequently embedded within a self-produced matrix of extracellular polymeric substance (EPS). Biofilm EPS, which is also referred to as slime, is a polymeric conglomeration generally composed of extracellular DNA, proteins, and polysaccharides in various configurations.",,,,,,,,biofilm material,ENVO_01000155
ENVO_01000157,,,"Material derived from a microbial mat, a multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats create a wide range of internal chemical environments.",,,,,,,envoPolar,microbial mat material,ENVO_01000155
ENVO_01001103,,,An organic material which is primarily composed of dead particulate matter.,,,,,,,,detritus,ENVO_01000155
ENVO_01000628,,,"Leaf litter is dead plant material, such as leaves, bark, needles, and twigs, that has fallen to the ground.",,,duff,,,,,plant litter,"CARO_0000000, ENVO_01000155"
ENVO_01000628,,,"Leaf litter is dead plant material, such as leaves, bark, needles, and twigs, that has fallen to the ground.",,,leaf litter,,,,,plant litter,"CARO_0000000, ENVO_01000155"
ENVO_01000628,,,"Leaf litter is dead plant material, such as leaves, bark, needles, and twigs, that has fallen to the ground.",,,litterfall,,,,,plant litter,"CARO_0000000, ENVO_01000155"
ENVO_01000628,,,"Leaf litter is dead plant material, such as leaves, bark, needles, and twigs, that has fallen to the ground.",,,soil litter,,,,,plant litter,"CARO_0000000, ENVO_01000155"
ENVO_01000628,,,"Leaf litter is dead plant material, such as leaves, bark, needles, and twigs, that has fallen to the ground.",,,tree litter,,,,,plant litter,"CARO_0000000, ENVO_01000155"
ENVO_01000349,,Requested in Issue 115 as part of the annotation of metagenomic submissions present in the European Nucleotide Archive.,An organic material primarily composed of a portion of plant root.,,,,,,,,root matter,ENVO_01000155
ENVO_02000008,,,A cell culture is a growth of cells in vitro in an artificial medium for experimental research.,,,,,,,,cell culture,ENVO_01000155
ENVO_01001189,,"An organic material which is primarily composed of living or dead algae, along with their exudates.",,"This class will be axiomatised with ""alga"" once an approach to handle this term's ambiguous semantics has been agreed with PCO.",,,,,,,algal material,ENVO_01000155
ENVO_01001391,,An organic environmental material which is primarily composed of gill tissue.,,,,,,,,,gill tissue material,ENVO_01000155
ENVO_01001395,,,"Biomass which is composed primarily of dead organisms, their parts, or their organic derivatives.",,,dead biological matter,,,,,necromass,ENVO_01000155
ENVO_01001395,,,"Biomass which is composed primarily of dead organisms, their parts, or their organic derivatives.",,,dead biomass,,,,,necromass,ENVO_01000155
ENVO_01001820,,,,,,,,,,,cultured organic material,ENVO_01000155
ENVO_03501304,,Cellophane is used for food packaging.,"A thin, transparent sheet made of regenerated cellulose.",,Plastic Wrap,,,,,,cellophane,ENVO_01000155
ENVO_03600084,,,An organic material which is derived from lichen mats.,,,,,,,,lichen material,ENVO_01000155
ENVO_1000746,,The formation of marine mucilage is often associated with conditions which stress marine microorganisms such as diatoms.,"A gelatinous material primarily composed of exopolymeric compounds with colloidal properties, formed through the aggregation of marine snow particles, often found in large sheets,  flocs, and clouds.","See issue #276.
This class is complex as marine mucilage is quite complex. It will also requre new class creation in GO process for deeper semantics.",sea snot,,,,,,marine mucilage,ENVO_01000155
ENVO_00002001,,,Water that has been adversely affected in quality by anthropogenic influence.,,,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,waste water,"ENVO_00002186, ENVO_00002264"
ENVO_02000022,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","A bodily fluid material which is composed primarily of excreta, bodily fluids consisting of matter which contains the waste products of biological processes, including urine or feces, discharged from an organism's body.",,,,,,,,excreta material,"ENVO_02000019, ENVO_00002264"
ENVO_00002267,,,"Industrial wastes are liquid, solid and gaseous wastes originating from the manufacture of specific products.","This will become a defined class, with subclasses added through inference based on material having a 'waste role' and being associated with industrial entities.",industrial waste,,,,,,industrial waste material,ENVO_00002264
ENVO_01000371,,"As with other wastes, this is more a role than a material in itself. This should be revised.","Agricultural waste is waste produced as a result of various agricultural operations. It includes manure and other wastes from farms, poultry houses and slaughterhouses; harvest waste; fertilizer run- off from fields; pesticides that enter into water, air or soils; and salt and silt drained from fields.",,agricultural waste,,,,,,agricultural waste material,ENVO_00002264
ENVO_00002872,,,The biomass remaining after sugarcane stalks are crushed to extract their juice.,,,sugarcane bagasse,,,,,bagasse,ENVO_00002264
ENVO_01000373,,,"Biological waste is waste containing mostly natural organic materials (remains of plants, animal excrement, biological sludge from waste-water treatment plants and so forth).","This will become a defined class, with subclasses added through inference based on material having a 'waste role' and being composed primarily of some organic or biological matter.",biological waste,,,,,,biological waste material,ENVO_00002264
ENVO_01000372,,,Household waste refers to waste material usually generated in the residential environment. Waste with similar characteristics may be generated in other economic activities and can thus be treated and disposed of together with household waste.,"This will become a defined class, with subclasses added through inference based on material having a 'waste role' and being associated with domestic entities.",household waste,,,,,,household waste material,ENVO_00002264
ENVO_03510070,,,"Waste which contains toxic components (e.g., heavy metals or radiation) which can cause harm to organisms and/or the environment.",,,,,,,,toxic waste,ENVO_00002264
ENVO_03600006,,"The causes of food waste or loss are numerous and can occur during production, processing, distribution, retail and consumption.",A waste material which is primarily composed of uneaten food and removed from the food supply chain.,does FoodOn want this?,,food loss,,,,,food waste,ENVO_00002264
ENVO_01000017,,"This definition is intentionally ambiguous to support the multiple thresholds set by different authorities. Some authorities consider as sands soil material that contains 85% or more sand; the percentage of silt plus 1.5 times the percentage of clay does not exceed 15. coarse sand (sable grossier) 25% or more very coarse and coarse sand, and less than 50% any other one grade of sand.",Particulate environmental material which is composed primarily of particles of sand with only minor proportions of other substances.,Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,,sand,ENVO_01000060
ENVO_00002007,,Sediment is typically deposited on the bed or bottom of a body of water or other liquid.,Particulate environmental material which is formed as a result of the transport and deposition of particles by flowing liquid.,,,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,sediment,ENVO_01000060
ENVO_00002007,,Sediment is typically deposited on the bed or bottom of a body of water or other liquid.,Particulate environmental material which is formed as a result of the transport and deposition of particles by flowing liquid.,,,,,,,envoPolar,sediment,ENVO_01000060
ENVO_01001563,,,"Particulate environmental material which 1) is primarily composed of a fine, granular material such as sand, silt, or clay suspended in and saturated by water and 2) readily liquefies when weight is applied, losing strength and permitting objects to sink until their weight and buoyancy offset the weight of the displaced quicksand.",Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,,quicksand,ENVO_01000060
ENVO_01000016,,"This definition is intentionally ambiguous to support the multiple thresholds set by different authorities. Some authorities consider this soil material that contains 80% or more silt and less than 12% clay. In the Udden-Wentworth scale (due to Krumbein), silt particles range between 0.0039 to 0.0625 mm, larger than clay but smaller than sand particles. ISO 14688 grades silts between 0.002 mm and 0.063 mm. In actuality, silt is chemically distinct from clay, and unlike clay, grains of silt are approximately the same size in all dimensions; furthermore, their size ranges overlap. Clays are formed from thin plate-shaped particles held together by electrostatic forces, so present a cohesion. According to the U.S. Department of Agriculture Soil Texture Classification system, the sand-silt distinction is made at the 0.05 mm particle size. The USDA system has been adopted by the Food and Agriculture Organization (FAO). In the Unified Soil Classification System (USCS) and the AASHTO Soil Classification system, the sand-silt distinction is made at the 0.075 mm particle size (i.e., material passing the #200 sieve). Silts and clays are distinguished mechanically by their plasticity.",Particulate environmental material which is primarily composed of silt particles.,Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,,silt,ENVO_01000060
ENVO_00002982,,"This definition is intentionally ambiguous to support the multiple thresholds set by different authorities.The distinction between silt and clay varies by discipline. Geologists and soil scientists usually consider the separation to occur at a particle size of 2 μm (clays being finer than silts), sedimentologists often use 4–5 μm, and colloid chemists use 1 μm. Geotechnical engineers distinguish between silts and clays based on the plasticity properties of the soil, as measured by the soils' Atterberg limits. ISO 14688 grades clay particles as being smaller than 2 μm and silt particles as being larger. Mixtures of sand, silt and less than 40% clay are called loam. Similar mixtures with greater than 40% clay are often considered clay soils.","Particulate environmental material which 1) is composed primarily of clay particles, with only minor proportions of other materials, 2) demonstrates plasticity when wet, and 3) is capable of hardening when dried or fired.",Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,,clay,ENVO_01000060
ENVO_01000436,,,Particulate environmental material in which small portions of solid material are surrounded by water.,"This class should be populated by inference, relying on 'composed primarily of', many 'pieces of solid material' and 'surrounded by' some 'water'.",,,,,,,waterborne particulate matter,ENVO_01000060
ENVO_03000021,,,Particulate environmental material which is composed primarily of carbon particles formed through the incomplete combustion of hydrocarbons.,Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,envoPolar,soot,ENVO_01000060
ENVO_03000038,,,"Particulate environmental material which is composed primarily of dust, rock, and soot, as well as the microbial communities associated with these materials, deposited on an ice mass by an aeolian process.",Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,envoPolar,cryoconite deposit,ENVO_01000060
ENVO_03000038,,,"Particulate environmental material which is composed primarily of dust, rock, and soot, as well as the microbial communities associated with these materials, deposited on an ice mass by an aeolian process.","This actually is formed as a result of an accumulation process involving the constituents of cryoconite. When their semantics are more stable, we can axiomatise this fully.",,,,,,envoPolar,cryoconite deposit,ENVO_01000060
ENVO_04000012,,,Particulate environmental material which is composed primarily of organic material.,Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,envoNceas,particulate organic matter,ENVO_01000060
ENVO_00002170,,,Manure which has been derived from the aerobically decomposed remnants of organic materials.,,,,,,,,compost,ENVO_03501300
ENVO_00003031,,"This is interesting in that the ""role"" aspect of ""waste"" is (or can be) replaced by another role ""fertilizer"". Thus, the positioning of ""manure"" under waste may not be totally correct.",Manure which is derived from the waste products of animals.,,,,,,,,animal manure,ENVO_03501300
ENVO_00002192,,,,,,,,,,,poultry litter,ENVO_00002191
ENVO_00002985,,,"A nonpolar, hydrophobic, and lipophilic material which is a viscous liquid at ambient temperatures (about 20 degrees Celsius) or slightly warmer.",,,,,,,,oil,"ENVO_01000815, ENVO_2000045"
ENVO_01000554,,,A gas that is primarily composed of hydrocarbon molecules.,,,,,,,envoPolar,hydrocarbon gas,"ENVO_01000797, ENVO_2000045"
ENVO_01000558,,,,,,,,,,envoPolar,liquefied hydrocarbon gas,"ENVO_01000815, ENVO_2000045"
ENVO_01001139,,,Ice which is primarily composed of methane.,,,,,,,envoAstro,methane ice,"ENVO_01001125, ENVO_2000045"
ENVO_01001238,,,Kerogen which has a hydrogen to carbon ratio less than  0.5 and primarily composed of polycyclic aromatic hydrocarbons.,,,,,,,,residual kerogen,"ENVO_2000045, ENVO_01001231"
ENVO_00005794,,,,,,,,,,,water scum,ENVO_00003930
ENVO_00005739,,The lifetime of sea foam can vary from only seconds to several hours or days. The longer-lasting foam are formed in particular when seawater contain higher concentration of dissolved organic matter that derived from sources such as algal blooms.,"A foamy environmental material which 1) is created by the agitation of seawater, 2) whose stability depends on the content of the seawater.",,,,,,,,sea foam,ENVO_00005738
ENVO_01001089,,,An aerosol which has non-gaseous parts that are primarily composed of solid particles.,,,solid aerosol,,,,envoAtmo,aerosolised solids,ENVO_00010505
ENVO_01001088,,,An aerosol which has non-gaseous parts that are primarily composed of liquid droplets.,,,liquid aerosol,,,,envoAtmo,aerosolised liquids,"ENVO_00010505, ENVO_02000140"
ENVO_01000838,,"Smoke is a collection of airborne solid and liquid particulates and gases emitted when a material undergoes combustion or pyrolysis, together with the quantity of gas that is entrained or otherwise mixed into the mass",,,,,,,,,smoke,ENVO_00010505
ENVO_01001652,,,An aerosol that is suspended in an atmosphere.,,,,,,,,atmospheric aerosol,ENVO_00010505
ENVO_01000797,,,A material entity which is composed of one or more chemical entities and has neither independent shape nor volume but tends to expand indefinitely.,This class is to be populated by inference.,,,gas,,,,gaseous environmental material,ENVO_02000140
ENVO_01000815,,"This is a defined class: most of its subclasses will not be asserted, but filled by inference.",An environmental material which is in a liquid state.,,,,,,,envoPolar,liquid environmental material,ENVO_02000140
ENVO_01000231,,Some use 'lava' to refer to rock that is formed when lava cools. This is not the intended meaning of this class. See 'igneous rock' or similar.,"Lava is a mixture of molten or semi-molten rock, volatiles, and solids which has extruded beyond a planetary crust.",,,,,,,,lava,ENVO_02000140
ENVO_01000648,,,"Magma is a mixture of molten or semi-molten rock, volatiles, and solids that is found beneath the uppermost solid layer of a planetary body. Besides molten rock, magma may also contain suspended crystals, dissolved gas and sometimes gas bubbles.",,,,,,,,magma,ENVO_02000140
ENVO_01000798,,,"A material entity which is composed of a volume of unbound positive and negative particles in roughly equal numbers, conducts electricity, and possesses internal magnetic fields.",An NTR for `quality of a plasma` has been posted on the PATO tracker: https://github.com/pato-ontology/pato/issues/88,,,,,,,plasma,ENVO_02000140
ENVO_01001511,,Water ice which is formed by the freezing of fresh water.,,,,,,,,,freshwater ice,"ENVO_01000277, ENVO_02000140"
ENVO_03600007,,,A fluid environmental material which is contained in geologic formations naturally.,assert contained in some child of astronmical body part? cavity? Parent class could use a better definition?,,,,,,,formation fluid,ENVO_02000140
ENVO_03600082,,The presence or absence of fluids exerts a fundamental control on rheology.,Fluid environmental material which is present in the continental crust and dictates the nature and extent of crustal deformation.,,,,,,,,crustal fluid,ENVO_02000140
ENVO_02000118,,,"A white or colourless soft solid derivable from petroleum, coal or oil shale, that consists of a mixture of hydrocarbon molecules containing between twenty and forty carbon atoms.",,,,,,,,paraffin wax,ENVO_01000575
ENVO_02000117,,,A wax that is naturally synthesized by a plant or animal.,,,,,,,,natural wax,ENVO_01000575
ENVO_01001155,,This is a term native to the fields of planetary science and astrophysics.  Hydrogen has a boiling point of 20.271 Kelvin and a melting point of 13.99 Kelvin. Helium has a boiling point of 4.222 Kelvin and a melting point of 0.95 Kelvin.,An astrogeological volatile which is composed primarily of chemical compounds with boiling points around those of hydrogen and helium.,,,,,gas,,envoAstro,astrogeological gas,ENVO_01001154
ENVO_01001126,,"This is a term native to the fields of planetary science and astrophysics.  Water, ammonia, and methane are considered ""ices"" with freezing points of 273 K, 195 K, and 91 K, respectively.",An astrogeological volatile which is composed primarily of chemical compounds with freezing points above an approximate threshold of 100 Kelvin.,,,,,ice,,envoAstro,astrogeological ice,ENVO_01001154
ENVO_01001647,,,A colloidal suspension which is dispersed through a part of a hydrosphere.,,,,,,,,colloid suspended in a hydrosphere,"ENVO_01000813, ENVO_01001560"
ENVO_06105112,,,A plastic which is composed primarily of polymers produced by a manufacturing process.,The corresponding subclass axiom will be added in the second phase of this project.,,manufactured plastic,,,,envoPlastics,synthetic plastic,ENVO_06105101
ENVO_06105112,,,A plastic which is composed primarily of polymers produced by a manufacturing process.,The corresponding subclass axiom will be added in the second phase of this project.,,manufactured plastic,,,,envoPolar,synthetic plastic,ENVO_06105101
ENVO_06105016,,,"A plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces.",,cellular polymers,geschäumter Kunststoff,,,,envoPlastics,foamed plastic,ENVO_06105101
ENVO_06105016,,,"A plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces.",,expanded polymers,geschäumter Kunststoff,,,,envoPlastics,foamed plastic,ENVO_06105101
ENVO_06105016,,,"A plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces.",,cellular polymers,plastic foam,,,,envoPlastics,foamed plastic,ENVO_06105101
ENVO_06105016,,,"A plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces.",,expanded polymers,plastic foam,,,,envoPlastics,foamed plastic,ENVO_06105101
ENVO_06105111,,,Plastic which is composed primarily of polymers produced by processes whose agents do not include humans or their technologies.,The corresponding subclass axiom will be added in the second phase of this project.,,,,,,envoPlastics,natural plastic,ENVO_06105101
ENVO_00002046,,,,,,,,,,,activated sludge,ENVO_00002044
ENVO_00002057,,,,,,,,,,,raw primary sludge,ENVO_00002044
ENVO_00002058,,,,,,,,,,,secondary sludge,ENVO_00002044
ENVO_00002059,,,"A treated form of sludge, sometimes used as a fertilizer in agriculture.",,,,,,,,biosolids,ENVO_00002044
ENVO_00002176,,,,,,,,,,,contaminated sludge,ENVO_00002044
ENVO_00002129,,,,,,,,,,,anaerobic sludge,ENVO_00002044
ENVO_00002212,,,,,,,,,,,thermophilic granular sludge,ENVO_00002044
ENVO_00005796,,,,,,,,,,,marine sludge,ENVO_00002044
ENVO_00002869,,,"Hay is grass, legumes or other herbaceous plants that have been cut, dried, and stored for use as animal fodder, particularly for grazing livestock such as cattle, horses, goats, and sheep.",,,,,,,,hay,ENVO_0010003
ENVO_00003030,,,"A fermented, high-moisture forage that can be fed to ruminants.",,,,,,,,silage,ENVO_0010003
ENVO_00003869,,,"An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.",,,,,,,,straw,ENVO_0010003
ENVO_01000473,,"Some sort of logical definition towards:
composed_primarily_of some ((straw or 'water reed' or rushes or sedge or heather) and has_quality dry)
should be considered, where ""rushes"", ""sedge"", etc are represented as materials rather than some sort of taxon.","Thatch is material composed of dry vegetation such as straw, water reed, sedge (Cladium mariscus), rushes, or heather.",,,,,,,,thatch,ENVO_0010003
ENVO_01001113,,,"Material which is primarily conposed of the vegetation present in tended pastures: mainly grasses, with an interspersion of legumes and other forbs.",,forage,,,,,,forage material,ENVO_0010003
ENVO_02000053,,,"A skin obtained from animals for human use typically from deer or cattle sources used to produce leather, shoes, fashion accessories, musical instruments.",,,,,,,,hide,ENVO_0010003
ENVO_03000133,,"Potting soil can be composed of a wide range of materials in varying ratios, often containing little or no actual soil.","An agricultural environmental material which 1) is composed of a mixture of materials such as peat, composted bark, sand, perlite, or compost, and 2) serves as a medium in which to grow plants.",,,potting soil,,,,,agricultural potting mixture,ENVO_0010003
ENVO_01000459,,,Asphaltic concrete is a concrete which uses refined asphalt as a cement.,,,asphaltic concrete,,,,,asphalt concrete,ENVO_01000458
ENVO_01000459,,,Asphaltic concrete is a concrete which uses refined asphalt as a cement.,,,road pavement,,,,,asphalt concrete,ENVO_01000458
ENVO_01000463,,,"Hydraulic cement is a masonry cement which contains activated aluminium silicates or pozzolans, such as fly ash, allowing it to set in wet conditions or underwater.",,,,,,,,hydraulic cement,ENVO_01000462
ENVO_01000464,,,Non-hydraulic cement is a cement which sets by reacting with carbon dioxide in the air and will not set in wet conditions or underwater. It is susceptible to attack by aggresive chemicals after setting.,,,,,,,,non-hydraulic cement,ENVO_01000462
ENVO_01000477,,,Gypsum plaster is a plaster which is formed by partially dehydrating gypsum by heating it to approximately 150 degrees Celsius and grinding the product into a powder. Gypsum anhydride - formed by heating gypsum above 200 degrees Celsius - may also be used as plaster.,,,plaster of Paris,,,,,gypsum plaster,ENVO_01000476
ENVO_01000478,,,,,,cement render,,,,,cement plaster,ENVO_01000476
ENVO_01000478,,,,,,cement stucco,,,,,cement plaster,ENVO_01000476
ENVO_01000479,,,Lime plaster is a plaster which is primarily composed of calcium hydroxide and an inert filler (such as sand). Coversion of the calcium hydroxide to calcium carbonate through a reaction with carbon dioxide in the air causes the plaster to set.,,,lime render,,,,,lime plaster,ENVO_01000476
ENVO_01000479,,,Lime plaster is a plaster which is primarily composed of calcium hydroxide and an inert filler (such as sand). Coversion of the calcium hydroxide to calcium carbonate through a reaction with carbon dioxide in the air causes the plaster to set.,,,lime stucco,,,,,lime plaster,ENVO_01000476
ENVO_01000479,,,Lime plaster is a plaster which is primarily composed of calcium hydroxide and an inert filler (such as sand). Coversion of the calcium hydroxide to calcium carbonate through a reaction with carbon dioxide in the air causes the plaster to set.,,,slaked lime plaster,,,,,lime plaster,ENVO_01000476
ENVO_02000124,,,Paint that contains lead.,,,,,,,,lead paint,ENVO_02000123
ENVO_03510029,,,"A paint product which adheres to surfaces and forms a binding layer, preparing it to receive paint.",,,,,,,,primer (paint),ENVO_02000123
ENVO_03510031,,,"A slow-drying paint that consists of particles of pigment suspended in a drying oil, commonly linseed oil.",,,oil paint,,,,,oil-based paint,ENVO_02000123
ENVO_03510032,,,"A water soluble, fast-drying paint made of pigment suspended in acrylic polymer emulsion.",,,,,,,,acrylic paint,ENVO_02000123
ENVO_03510033,,,"A paint that exhibits luminescence, giving off visible light through fluorescence, phosphorescence, or radioluminescence.",,,luminous paint,,,,,luminescent paint,ENVO_02000123
ENVO_00005758,,,A portion of alluvial soil which is part of a swamp ecosystem.,,,,,,,,alluvial swamp soil,ENVO_00002871
ENVO_00005759,,,Alluvial soil whichi is part of a paddy field.,,,,,,,,alluvial paddy field soil,"ENVO_00002871, ENVO_00005740"
ENVO_00002116,,"""contaminant"" is more of a disposition - any material entity can be a contaminant in particular circumstances.",A portion of contaminated soil is a portion of soil with elevated levels of some contaminant.,,,,,,,,contaminated soil,ENVO_00003082
ENVO_00003083,,,A portion of sarcosine enriched soil is a portion of soil with elevated levels of sarcosine.,,,,,,,,sarcosine enriched soil,ENVO_00003082
ENVO_00003084,,,A portion of trimethylamine enriched soil is a portion of soil with elevated levels of trimethylamine.,,,,,,,,trimethylamine enriched soil,ENVO_00003082
ENVO_00003085,,,A portion of skatole enriched soil is a portion of soil with elevated levels of skatole.,,,,,,,,skatole enriched soil,ENVO_00003082
ENVO_00003086,,,A portion of ethanol enriched soil is a portion of soil with elevated levels of ethanol.,,,,,,,,ethanol enriched soil,ENVO_00003082
ENVO_00003087,,,A portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide.,,,,,,,,acetamide enriched soil,ENVO_00003082
ENVO_00003088,,,A portion of pantothenate enriched soil is a portion of soil with elevated levels of pantothenate.,,,,,,,,pantothenate enriched soil,ENVO_00003082
ENVO_00003089,,,A portion of testosterone enriched soil is a portion of soil with elevated levels of testosterone.,,,,,,,,testosterone enriched soil,ENVO_00003082
ENVO_00003090,,,A portion of kynurenate enriched soil is a portion of soil with elevated levels of kynurenate.,,,,,,,,kynurenate enriched soil,ENVO_00003082
ENVO_00003091,,,A portion of threonine enriched soil is a portion of soil with elevated levels of threonine.,,,,,,,,threonine enriched soil,ENVO_00003082
ENVO_00003092,,,A portion of salicylate enriched soil is a portion of soil with elevated levels of salicylate.,,,,,,,,salicylate enriched soil,ENVO_00003082
ENVO_00003093,,,A portion of poly-beta-hydroxybutyrate enriched soil is a portion of soil with elevated levels of poly-beta-hydroxybutyrate.,,,,,,,,poly-beta-hydroxybutyrate enriched soil,ENVO_00003082
