	IAO_0000115	hasExactSynonym	comment	label	IAO_0000116	hasBroadSynonym	hasNarrowSynonym	hasRelatedSynonym
ENVO_04000012	['Particulate environmental material which is composed primarily of organic material.']			['particulate organic matter']	['Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.']			
ENVO_00002170	['Manure which has been derived from the aerobically decomposed remnants of organic materials.']			['compost']				
ENVO_00003031	['Manure which is derived from the waste products of animals.']		"['This is interesting in that the ""role"" aspect of ""waste"" is (or can be) replaced by another role ""fertilizer"". Thus, the positioning of ""manure"" under waste may not be totally correct.']"	['animal manure']				
ENVO_00002985	['A nonpolar, hydrophobic, and lipophilic material which is a viscous liquid at ambient temperatures (about 20 degrees Celsius) or slightly warmer.']			['oil']				
ENVO_01000554	['A gas that is primarily composed of hydrocarbon molecules.']			['hydrocarbon gas']				
ENVO_01001139	['Ice which is primarily composed of methane.']			['methane ice']				
ENVO_01001238	['Kerogen which has a hydrogen to carbon ratio less than  0.5 and primarily composed of polycyclic aromatic hydrocarbons.']			['residual kerogen']				
ENVO_00005739	['A foamy environmental material which 1) is created by the agitation of seawater, 2) whose stability depends on the content of the seawater.']		['The lifetime of sea foam can vary from only seconds to several hours or days. The longer-lasting foam are formed in particular when seawater contain higher concentration of dissolved organic matter that derived from sources such as algal blooms.']	['sea foam']				
ENVO_01001089	['An aerosol which has non-gaseous parts that are primarily composed of solid particles.']	['solid aerosol']		['aerosolised solids']				
ENVO_01001088	['An aerosol which has non-gaseous parts that are primarily composed of liquid droplets.']	['liquid aerosol']		['aerosolised liquids']				
ENVO_01001652	['An aerosol that is suspended in an atmosphere.']			['atmospheric aerosol']				
ENVO_01000797	['A material entity which is composed of one or more chemical entities and has neither independent shape nor volume but tends to expand indefinitely.']			['gaseous environmental material']	['This class is to be populated by inference.']		['gas']	
ENVO_01000815	['An environmental material which is in a liquid state.']		['This is a defined class: most of its subclasses will not be asserted, but filled by inference.']	['liquid environmental material']				
ENVO_01000231	['Lava is a mixture of molten or semi-molten rock, volatiles, and solids which has extruded beyond a planetary crust.']		"[""Some use 'lava' to refer to rock that is formed when lava cools. This is not the intended meaning of this class. See 'igneous rock' or similar.""]"	['lava']				
ENVO_01000648	['Magma is a mixture of molten or semi-molten rock, volatiles, and solids that is found beneath the uppermost solid layer of a planetary body. Besides molten rock, magma may also contain suspended crystals, dissolved gas and sometimes gas bubbles.']			['magma']				
ENVO_01000798	['A material entity which is composed of a volume of unbound positive and negative particles in roughly equal numbers, conducts electricity, and possesses internal magnetic fields.']			['plasma']	['An NTR for `quality of a plasma` has been posted on the PATO tracker: https://github.com/pato-ontology/pato/issues/88']			
ENVO_03600007	['A fluid environmental material which is contained in geologic formations naturally.']			['formation fluid']	['assert contained in some child of astronmical body part? cavity? Parent class could use a better definition?']			
ENVO_03600082	['Fluid environmental material which is present in the continental crust and dictates the nature and extent of crustal deformation.']		['The presence or absence of fluids exerts a fundamental control on rheology.']	['crustal fluid']				
ENVO_02000118	['A white or colourless soft solid derivable from petroleum, coal or oil shale, that consists of a mixture of hydrocarbon molecules containing between twenty and forty carbon atoms.']			['paraffin wax']				
ENVO_02000117	['A wax that is naturally synthesized by a plant or animal.']			['natural wax']				
ENVO_01001155	['An astrogeological volatile which is composed primarily of chemical compounds with boiling points around those of hydrogen and helium.']		['This is a term native to the fields of planetary science and astrophysics.  Hydrogen has a boiling point of 20.271 Kelvin and a melting point of 13.99 Kelvin. Helium has a boiling point of 4.222 Kelvin and a melting point of 0.95 Kelvin.']	['astrogeological gas']				['gas']
ENVO_01001126	['An astrogeological volatile which is composed primarily of chemical compounds with freezing points above an approximate threshold of 100 Kelvin.']		"['This is a term native to the fields of planetary science and astrophysics.  Water, ammonia, and methane are considered ""ices"" with freezing points of 273 K, 195 K, and 91 K, respectively.']"	['astrogeological ice']				['ice']
ENVO_01001647	['A colloidal suspension which is dispersed through a part of a hydrosphere.']			['colloid suspended in a hydrosphere']				
ENVO_02000047	['Food material which can be used to meet nutritional requirements of animals, particularly livestock such as cattle, goats, sheep, horses, chickens and pigs.']		['Most animal feed is from plants but some is of animal origin. Fodder refers particularly to food given to the animals (including plants cut and carried to them), rather than that which they forage for themselves. It includes hay, straw, silage, compressed and pelleted feeds, oils and mixed rations, and also sprouted grains and legumes.']	['animal feed']				['fodder']
ENVO_02000055	['Food material which can be used to meet nutritional requirements of plants.']			['plant feed']				
FOODON_00001002	['Food material for humans and animals which is processed with the intention that it be consumable as a whole or added to other food products.']		"['The FoodOn ""food product"" class is provided as a branch under which new food product categories and food products themselves can be placed. Here classes are provided to differentiate a food product by its food composition, processing and/or consumption characteristics. This avoids brand name products but it may include generic food dish categories. It has a much greater depth and polyhierarchy than other agency product type schemes have in an effort to group related products together.  The upper level basis of this tree originated in the environment ontology (ENVO) and from the US Code of Federal Regulations.']"	['food product']				
FOODON_03400361	['An agency food product type is a class of food product defined by an agency or consortium.']		"[""This class is designed to hold 3rd party food classification schemes which are being mapped to FoodOn classes using the 'has member' relation. The two hierarchies are not melded into a subclass polyhierarchy because of possible logical inconsistencies in the agency schemes. The hierarchies of agency schemes are as true to their agency representation as possible.""]"	['agency food product type']				
ENVO_06105112	['A plastic which is composed primarily of polymers produced by a manufacturing process.']	['manufactured plastic']		['synthetic plastic']	['The corresponding subclass axiom will be added in the second phase of this project.']			
ENVO_06105016	['A plastic which has a matrix- or sponge-like structure with numerous, hollow internal spaces.']	['geschäumter Kunststoff', 'plastic foam']		['foamed plastic']		['cellular polymers', 'expanded polymers']		
ENVO_06105111	['Plastic which is composed primarily of polymers produced by processes whose agents do not include humans or their technologies.']			['natural plastic']	['The corresponding subclass axiom will be added in the second phase of this project.']			
ENVO_00002059	['A treated form of sludge, sometimes used as a fertilizer in agriculture.']			['biosolids']				
ENVO_00002869	['Hay is grass, legumes or other herbaceous plants that have been cut, dried, and stored for use as animal fodder, particularly for grazing livestock such as cattle, horses, goats, and sheep.']			['hay']				
ENVO_00003030	['A fermented, high-moisture forage that can be fed to ruminants.']			['silage']				
ENVO_00003869	['An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.']			['straw']				
ENVO_01000473	['Thatch is material composed of dry vegetation such as straw, water reed, sedge (Cladium mariscus), rushes, or heather.']		"['Some sort of logical definition towards:\ncomposed_primarily_of some ((straw or \'water reed\' or rushes or sedge or heather) and has_quality dry)\nshould be considered, where ""rushes"", ""sedge"", etc are represented as materials rather than some sort of taxon.']"	['thatch']				
ENVO_01001113	['Material which is primarily conposed of the vegetation present in tended pastures: mainly grasses, with an interspersion of legumes and other forbs.']			['forage material']		['forage']		
ENVO_02000053	['A skin obtained from animals for human use typically from deer or cattle sources used to produce leather, shoes, fashion accessories, musical instruments.']			['hide']				
ENVO_03000133	['An agricultural environmental material which 1) is composed of a mixture of materials such as peat, composted bark, sand, perlite, or compost, and 2) serves as a medium in which to grow plants.']	['potting soil']	['Potting soil can be composed of a wide range of materials in varying ratios, often containing little or no actual soil.']	['agricultural potting mixture']				
ENVO_01000459	['Asphaltic concrete is a concrete which uses refined asphalt as a cement.']	['asphaltic concrete', 'road pavement']		['asphalt concrete']				
ENVO_01000463	['Hydraulic cement is a masonry cement which contains activated aluminium silicates or pozzolans, such as fly ash, allowing it to set in wet conditions or underwater.']			['hydraulic cement']				
ENVO_01000464	['Non-hydraulic cement is a cement which sets by reacting with carbon dioxide in the air and will not set in wet conditions or underwater. It is susceptible to attack by aggresive chemicals after setting.']			['non-hydraulic cement']				
ENVO_01000477	['Gypsum plaster is a plaster which is formed by partially dehydrating gypsum by heating it to approximately 150 degrees Celsius and grinding the product into a powder. Gypsum anhydride - formed by heating gypsum above 200 degrees Celsius - may also be used as plaster.']	['plaster of Paris']		['gypsum plaster']				
ENVO_01000479	['Lime plaster is a plaster which is primarily composed of calcium hydroxide and an inert filler (such as sand). Coversion of the calcium hydroxide to calcium carbonate through a reaction with carbon dioxide in the air causes the plaster to set.']	['lime render', 'lime stucco', 'slaked lime plaster']		['lime plaster']				
ENVO_02000124	['Paint that contains lead.']			['lead paint']				
ENVO_03510029	['A paint product which adheres to surfaces and forms a binding layer, preparing it to receive paint.']			['primer (paint)']				
ENVO_03510031	['A slow-drying paint that consists of particles of pigment suspended in a drying oil, commonly linseed oil.']	['oil paint']		['oil-based paint']				
ENVO_03510032	['A water soluble, fast-drying paint made of pigment suspended in acrylic polymer emulsion.']			['acrylic paint']				
ENVO_03510033	['A paint that exhibits luminescence, giving off visible light through fluorescence, phosphorescence, or radioluminescence.']	['luminous paint']		['luminescent paint']				
ENVO_00005758	['A portion of alluvial soil which is part of a swamp ecosystem.']			['alluvial swamp soil']				
ENVO_00005759	['Alluvial soil whichi is part of a paddy field.']			['alluvial paddy field soil']				
ENVO_00002116	['A portion of contaminated soil is a portion of soil with elevated levels of some contaminant.']		"['""contaminant"" is more of a disposition - any material entity can be a contaminant in particular circumstances.']"	['contaminated soil']				
ENVO_00003083	['A portion of sarcosine enriched soil is a portion of soil with elevated levels of sarcosine.']			['sarcosine enriched soil']				
ENVO_00003084	['A portion of trimethylamine enriched soil is a portion of soil with elevated levels of trimethylamine.']			['trimethylamine enriched soil']				
ENVO_00003085	['A portion of skatole enriched soil is a portion of soil with elevated levels of skatole.']			['skatole enriched soil']				
ENVO_00003086	['A portion of ethanol enriched soil is a portion of soil with elevated levels of ethanol.']			['ethanol enriched soil']				
ENVO_00003087	['A portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide.']			['acetamide enriched soil']				
ENVO_00003088	['A portion of pantothenate enriched soil is a portion of soil with elevated levels of pantothenate.']			['pantothenate enriched soil']				
ENVO_00003089	['A portion of testosterone enriched soil is a portion of soil with elevated levels of testosterone.']			['testosterone enriched soil']				
ENVO_00003090	['A portion of kynurenate enriched soil is a portion of soil with elevated levels of kynurenate.']			['kynurenate enriched soil']				
ENVO_00003091	['A portion of threonine enriched soil is a portion of soil with elevated levels of threonine.']			['threonine enriched soil']				
ENVO_00003092	['A portion of salicylate enriched soil is a portion of soil with elevated levels of salicylate.']			['salicylate enriched soil']				
ENVO_00003093	['A portion of poly-beta-hydroxybutyrate enriched soil is a portion of soil with elevated levels of poly-beta-hydroxybutyrate.']			['poly-beta-hydroxybutyrate enriched soil']				
ENVO_00003094	['A portion of L-(+)-tartrate enriched soil is a portion of soil with elevated levels of L-(+)-tartrate.']			['L-(+)-tartrate enriched soil']				
ENVO_00003095	['A portion of quinate enriched soil is a portion of soil with elevated levels of quinate.']			['quinate enriched soil']				
ENVO_00003914	['Soil which has increased levels of chalk.']			['chalk soil']				
ENVO_00005753	['A portion of urea enriched soil is a portion of soil with elevated levels of urea.']			['urea enriched soil']				
ENVO_00005757	['A portion of bacteria enriched soil is a portion of soil with elevated bacterial abundance.']			['bacteria enriched soil']				
ENVO_00005762	['A portion of chloropicrin enriched soil is a portion of soil with elevated levels of chloropicrin.']			['chloropicrin enriched soil']				
ENVO_00005763	['Soil which 1) has increased levels of humus, 2) has low pH levels, 3) has increased levels of mineral ash.']			['humus-rich acidic ash soil']				
ENVO_00005776	['Paddy field soil which has increased levels of peat.']			['peaty paddy field soil']				
ENVO_01000427	['A portion of carbon nanotube enriched soil is a portion of soil with elevated levels of carbon nanotubes.']		"['Logical definition will be created pending import of ""carbon nanotube"" from CHEBI']"	['carbon nanotube enriched soil']				
ENVO_06105274	['Loam which has a high proportion of sand in its composition.']		['Some authorities consider sandy loam to be a soil composed of 50-70% sand, 0-50% silt, and 0-20% clay. Others, a soil material that contains either 20% or less clay, with a percentage of silt plus twice the percentage of clay that exceeds 30, and 52% or more sand; or less than 7% clay, less than 50% silt, and between 43% and 52% sand.']	['sandy loam']				
ENVO_06105275	['Loam which has a high proportion of silt in its composition.']		['USDA textural classes of soils', 'Some authorities consider silt loam to be a soil composed of 20-50% of sand, 74-88% silt and 0-27% of clay.']	['silty loam']				
ENVO_06105277	['Loam which has a high proportion of clay in its composition.']		['Some authorities consider clay loam to be a soil composed of 20-45% sand, 15-52% silt, and 27 to 40% clay.']	['clay loam']	['Interestingly, some instances of this class may not actually conform to the definition of loam, by having roughly unequal proportions of sand and silt and quite a large proportion of clay.']			
ENVO_01001841	['An andosol which derives its silica content from glass and tephra ejected during a volcanic eruption.']			['volcanic soil']				
ENVO_00002234	['Acrisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Acrisols have in certain depths a low base saturation and low-activity clays.']			['acrisol']				
ENVO_00002236	['Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes.']			['cryosol']				['gelisol']
ENVO_00005765	['Compost soil which is frozen.']			['frozen compost soil']				
ENVO_01001527	['Frozen soil which is cemented by water ice but has viscous properties due to its high, unfrozen water content and therefore will compress and deform under load.']			['plastic-frozen soil']				
ENVO_00005774	['A histosol which is formed by the decomposition of vegetation or organic matter.']			['peat soil']		['turf']		['peat']
ENVO_00005740	['Soil which is part of a paddy field.']			['paddy field soil']				['rice paddy soil']
ENVO_00005789	['Bluegrass field soil is a soil which is found in a field of Kentucky Bluegrass (Poa pratensis).']			['bluegrass field soil']				
ENVO_00002260	['Soil which is part of some dune.']			['dune soil']				
ENVO_00005769	['Soil which is part of a forest growing on a mountain.']			['mountain forest soil']				
ENVO_00005770	['Soil which is part of a forest whose communites of arborescent plants are dominated the genus Fagus.']			['beech forest soil']				
ENVO_00005783	['Soil which is part of a woodland dominated by leafy trees.']			['leafy wood soil']				
ENVO_00005784	['Soil which is part of a forest whose communites of arborescent plants are dominated the genus Picea.']			['spruce forest soil']				
ENVO_00005787	['Soil which is part of a forest whose communites of arborescent plants are dominated the genus Eucalyptus.']			['eucalyptus forest soil']				
ENVO_00005744	['Soil which is part of an allotment garden.']			['allotment garden soil']				
ENVO_00005779	['Garden soil which is part of a garden used for the cultivation of vegetables.']			['vegetable garden soil']				
ENVO_00005746	['A portion of soil which is found in a savanna.']			['savanna soil']				
ENVO_00005777	['A portion of soil which is found in a steppe.']			['steppe soil']				
ENVO_00005772	['Soil in which trees from an orchard grow.']			['orchard soil']				
ENVO_01000277	['Ice which is formed from water.']		"[""Water ice can appear transparent or opaque bluish-white color, depending on the presence of impurities or air inclusions. The addition of other materials such as soil may further alter its appearance.\n\nWhen speaking about ice on Earth, usually water ice is meant - the solid, crystalline form of water found in the atmosphere as snow crystals, hail, ice pellets, etc., and on the earth's surface in forms such as hoarfrost, rime, glaze, sea ice, glacier ice, ground ice, frazil, anchor ice, etc.\n\nThis form of water is, strictly speaking, called ice Ih, the Roman numeral I distinguishing it from more than a dozen other phases and the letter h distinguishing it from the metastable cubic phase ice Ic. Ice Ih is the only one of the several known phases of water ice that is stable at commonly occurring temperatures and pressures. (Some of the other forms have very unusual properties, ice VII, for example, being stable only at pressures above 22 400 kg/cm^2, but then existing at temperatures up to about 100C.)\n\nIt has an open structure with a specific gravity of 0.9166 which is slightly less than water; because the water molecules bond to their neighbors covalently only in four directions; it therefore floats on higher density water, where broken molecular bonds permit closer packing. All commonly occurring forms of ice are crystalline, although large single crystals are relatively rare except in glaciers. The ice crystal lattice possesses hexagonal symmetry that manifests itself in the gross forms of such single crystals as are sometimes found in snow. At an air pressure of one atmosphere, ice melts at 0 C by definition of the Celsius temperature scale. (Strictly speaking the equilibrium point among water, ice, and vapor occurs at +0.01C, the triple point.) On the other hand, ice does not invariably form in liquid water cooled below this temperature; it has a tendency to supercool, more so in the absence of ice nuclei.\n\nIn permafrost regions, ice may occupy voids in soils and rocks and may develop in a variety of forms. Ice may be colourless to pale blue or greenish-blue. It may appear white due to included gas bubbles; in exposures, ground ice may also appear black.\n\nIn nature ice is formed either by: (a) the freezing of water, (b) the condensation of atmospheric water vapour direct into ice crystals, (c) the compaction of snow with or without the motion of a glacier, or (d) the impregnation of porous snow masses with water which subsequently freeze.""]"	['water ice']				['ice']
ENVO_01001138	['Ice which is primarily composed of carbon dioxide.']			['carbon dioxide ice']				['dry ice']
ENVO_01001140	['Ice which is primarily composed of ammonia.']			['ammonia ice']				
ENVO_01001141	['Ice which is primarily composed of carbon monoxide.']			['carbon monoxide ice']				
ENVO_00002016	['A rock formed by deposition of either clastic sediments, organic matter, or chemical precipitates (evaporites), followed by compaction of the particulate matter and cementation during diagenesis.']			['sedimentary rock']				
ENVO_01000662	['Scoria is a highly vesicular, dark colored volcanic rock that may or may not contain crystals.']	['cinder']	['Scoria differs from pumice in having larger vesicles, thicker vesicle walls and being dark colored and denser.']	['scoria']				
ENVO_01000663	['Pumice is a volcanic rock that consists of highly vesicular rough textured volcanic glass, which may or may not contain crystals.']		['Scoria differs from pumice in having larger vesicles, thicker vesicle walls and being dark colored and denser.']	['pumice']				
ENVO_00002013	['Rock formed from molten magma.']			['igneous rock']				
ENVO_00002015	['An igneous rock that results from magma reaching the surface either as lava or fragmental ejecta.']		"[""Due to the general suggestion that volcanic rock simply comes from a volcanic process, it's not immediately clear whether this is interchangeable with igneous rock.""]"	['volcanic rock']				
ENVO_00002017	"[""A rock formed by subjecting any rock type (including previously-formed metamorphic rock) to different temperature and pressure conditions than those in which the original rock was formed. These temperatures and pressures are always higher than those at the Earth's surface and must be sufficiently high so as to change the original minerals into other mineral types or else into other forms of the same minerals (e.g. by recrystallisation).""]"			['metamorphic rock']				
ENVO_01000751	['A lithified mass of rock that lies under the loose softer material (regolith) at the surface of the Earth or other terrestrial planet.']			['bedrock']				
ENVO_01000661	['Tuff is a type of rock made of volcanic ash ejected from a vent during a volcanic eruption.']			['tuff']				
ENVO_01001204	['A rock which is formed as a result of the lithification of alluvium.']			['alluvial deposit']				
ENVO_02000094	['a type of rock that contains sufficient minerals with important elements including metals that can be economically extracted from the rock.']			['ore']				
ENVO_03600016	['Rock which is derived from bedrock through chemical weathering']			['saprolite']	['add chemcical weathering term to improve axiomitization']			
ENVO_01000853	['Marl is a mass of calcium carbonate derived from mollusk shells and mixed with silt and clay.']			['marl']	['A request from the Agronomy Ontology in Issue #345.']			
ENVO_02000100	['Dust which is derived from mineral material.']			['mineral dust']				
ENVO_01001282	['Dust which is composed primarily of slicon dioxide.']			['silica dust']				
ENVO_01001283	['Dust which is primarily composed of aluminium particles.']			['aluminium dust']				
ENVO_01001284	['Dust which is primarily composed of barium particles.']			['barium dust']				
ENVO_01001285	['Dust which is primarily composed of hydrated magnesium silicate (talc) particles.']			['talc dust']				
ENVO_01001286	['Dust which is primarily composed of slate particles.']			['slate dust']				
ENVO_02000099	['Dust which is derived from coal.']			['coal dust']				
ENVO_02000101	['Dust which is composed of fibrous material.']			['fibrous dust']				
ENVO_02000103	['Dust which is composed primarily of some metallic material.']			['metallic dust']				
ENVO_02000105	['Dust which is derived from clay material.']			['clay dust']				
ENVO_03510000	['Dust which is 1) generated when wood is processed and 2) composed primarily of cellulose, polyoses, and lignin.']		['Wood dust is typically generated through processes where wood is chipped, sawed, turned, drilled or sanded. The chemical composition of wood dust depends on the species of tree. Wood dust is not typically produced for specific uses. However, it is used commercially for wood composts. The primary routes of potential human exposure to wood dust are inhalation and dermal contact. It is known to be a human carcinogen.']	['wood dust']				
ENVO_03510036	['Dust which is composed of minerals and trace elements, generated by  finely crushed rock.']	['rock powder']	['Rock dust is widely used in mining to prevent coal dust explosions, or in agriculture for organic farming uses.']	['rock dust']		['mineral fines', 'rock flour', 'soil remineralization']		
ENVO_01000701	['Volcanic ash is an environmental material which consists of fragments of pulverized rock, minerals, and volcanic glass, created during volcanic eruptions and measuring less than 2 millimetres in diameter. Volcanic ash is formed during explosive volcanic eruptions, phreatomagmatic eruptions and during transport in pyroclastic density currents.']			['volcanic ash']				
ENVO_02000126	['the residue powder that is derived from the combustion of wood.']			['wood ash']				
ENVO_02000127	['Ash that is produced from the burning of coal.']	['coal combustion residuals']		['coal ash']				
ENVO_01000405	['A portion of respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of 10 micrometers or less.']	['PM10']		['respirable suspended particulate matter']				
ENVO_01000481	['Silica-based glass is a glass composed primarily of silicon dioxide, the primary constituent of sand.']		['Silica-based glasses are the most common manufactured variety of glass.']	['silica-based glass']		['glass']		
ENVO_2000007	['charcoal that is used as a soil amendment.']			['biochar']				
ENVO_01000846	['A crystal which is primarily composed of water ice.']		['Any one of a number of macroscopic, crystalline forms in which ice appears, including hexagonal columns, hexagonal platelets, dendritic crystals, ice needles, and combinations of these forms.  The crystal lattice of ice is hexagonal in its symmetry under most atmospheric conditions.']	['water ice crystal']		['ice crystal']		
ENVO_01000850	['A material which is primarily composed of a substance arranged as a lattice which can trap or contain other molecules.']	['clathrate compound material', 'clathrate crystal material']	"['This class is not to be confused with CHEBI\'s ""clathrate"". The latter refers to the pure substance, while this class refers to clathrates found in nature.\n""Traditionally, clathrate compounds are polymeric and completely envelop the guest molecule, but in modern usage clathrates also include host-guest complexes and inclusion compounds."" https://en.wikipedia.org/wiki/Clathrate_compound']"	['clathrate material']	['Not sure if this should be a subclass of crystal. If it is removed, remember to assert that it is a solid.']			
ENVO_03501302	['Plant matter consisting of an impermeable buoyant material, the phellem layer of bark tissue.']			['cork']				
ENVO_01001232	['Kerogen which cotains alginite, amorphous organic matter, cyanobacteria, freshwater algae, and land plant resins, thus having a hydrogen to carbon ratio above 1.25, and oxygen to carbon ratio below 0.15, readily produces liquid hydrocarbons, has reduced concentrations of aromatic structures, and primarily derived from proteins and lipids.']			['sapropelic kerogen']				
ENVO_01001233	['Kerogen from which heavy hydrocarbons (such as oils) are derived following chemical break down.']			['labile kerogen']				
ENVO_01001234	['Kerogen from which light hydrocarbons (such as hydrocarbon gases) are derived following chemical break down.']			['recalcitrant kerogen']				
ENVO_01001235	['Kerogen which is enriched in sulfur compounds, has a hydrogen to carbon ratio under 1.25, an oxygen to carbon ratio between 0.03 and 0.18, derives into mixtures of hydrocarbon gas and oil, and derives from marine organic materials (primarily lipids) which are formed in reducing environments.']			['planktonic kerogen']				
ENVO_01001237	['Kerogen which derives from land plants, resembles wood or coral in structure, has a hydrogen to carbon ratio under 1, an oxygen to carbon ratio between 0.03 to 0.3, and which primarily produces coal or hydrocarbon gas on degradation.']			['humic kerogen']				
ENVO_01001562	['A gel which is primarily composed of a network of polymer chains that are hydrophilic, sometimes found as a colloidal gel in which water is the dispersion medium.']			['hydrogel']				
ENVO_01001845	['Frost which is composed of interlocking ice crystals formed by vapour transfer (sublimation followed by deposition) of water vapour on some surface.']	['hoar frost', 'white frost']		['hoar']				
ENVO_01001848	['Water ice which 1) has a white or milky and opaque appearance, 2) has a granular texture, and 3) is formed as a result of the deposition and rapid freezing of supercooled water drops as they make contact with an exposed object.']		['Rime is denser and harder than hoarfrost, but lighter, softer, and less transparent than glaze. Rime is composed essentially of discrete ice granules and has densities as low as 0.2-0.3 g cm-3. Glaze is generally continuous but with some air pockets and has much higher densities. Factors that favor rime formation are small drop size, slow accretion, a high degree of supercooling, and rapid dissipation of latent heat of fusion. The opposite effects favor glaze formation. Both rime and glaze occur when supercooled water drops strike an object at a temperature below freezing. Such formation on terrestrial objects constitutes an ice storm; on aircraft, it is called aircraft icing (where rime is known as rime ice). Either rime or glaze may form on snow crystals, droxtals, or other ice particles in the atmosphere. When such a deposit is wholly or chiefly of rime, snow pellets result; when most or all of the deposit is glaze, ordinary hail or ice pellets result. The alternating clear and opaque layers of some hailstones represent glaze and rime, deposited under varying conditions around the growing hailstone.']	['rime']	['The previously use definition was: Frost which is 1) composed primarily of granular ice tufts, 2) formed on the windward sides of exposed objects through contact with supercooled fog or cloud, and 3) built out directly against the wind.']			
ENVO_00000338	['A bodily fluid material which is composed primarily of vomit, a bodily fluid consisting of the expulsed contents of the stomach of an organism disgorged through the mouth or nose.']		"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['vomit material']				
ENVO_02000020	"[""A bodily fluid material which is composed primarily of blood, a bodily fluid composed of blood plasma and blood cells suspended within the plasma that circulates around the organism's body. Blood performs may important functions including the supplying of oxygen and nutrients, removal of waste, circulation of white blood cells, detection of antibodes, coagulation, transportation of antibodies and the regulation of pH and body temperature.""]"		"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['blood material']				
ENVO_02000021	['A bodily fluid material which is composed primarily of amniotic fluid, a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnion. It allows the fetus to move freely without the walls of the uterus being too tight against its body. Buoyancy is also provided.']		"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['amniotic fluid material']				
ENVO_02000023	['A bodily fluid material which is composed primarily of bile, a bodily fluid consisting of a bitter, yellow or green alkaline fluid secreted by hepatocytes from the liver of most vertebrates. In many species, bile is stored in the gallbladder between meals and upon eating is discharged into the duodenum where the bile aids the process of digestion of lipids.']		"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['bile material']				['gall']
ENVO_02000024	['A bodily fluid material which is composed primarily of aqueous humour, a bodily fluid consisting of a thick watery substance that fills the space between the lens and the cornea.']		"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['aqueous humour material']				
ENVO_02000026	['A bodily fluid material which is composed primarily of chyme, a bodily fluid consisting of a liquid substance found in the stomach before passing through the pyloric valve and entering the duodenum. It results from the mechanical and chemical breakdown of a bolus and consists of partially digested food, water, hydrochloric acid, and various digestive enzymes.']	['chymus']	"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['chyme material']				
ENVO_02000027	['A bodily fluid material which is composed primarily of blood plasma, a bodily fluid that comprises the liquid component of blood, in which the blood cells are suspended. It makes up about 55% of total blood volume.']		"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['blood plasma material']				
ENVO_02000028	['A bodily fluid material which is composed primarily of ear wax, a bodily fluid consisting of a yellowish, waxy substance secreted in the ear canal of humans and many other mammals. It plays an important role in the human ear canal, assisting in cleaning and lubrication, and also provides some protection from bacteria, fungi, and insects.']	['cerumen material']	"['ENVO bodily fluid classes differ from UBERON\'s treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON\'s classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.']"	['ear wax material']				
